ID,PA,PB,PC,PD,PE,PF,PG
PR40001,627,349,214,142,100,73,56
PR40002,1,1,1,1,1,1,1
PR40003,1378,714,413,259,175,124,92
PR40004,2948,1425,778,466,301,206,147
PR40005,730,401,243,159,111,81,62
PR40006,2574,1261,695,420,273,188,135
PR40007,199,123,82,59,44,34,27
PR40008,1789,906,513,318,211,147,108
PR40009,192,119,80,57,43,33,27
PR40010,1790,905,513,318,210,147,108
PR40011,2574,1261,695,420,273,188,135
PR40012,1790,905,513,318,210,147,108
PR40013,1003,535,317,204,139,100,75
PR40014,1394,722,416,262,176,125,92
PR40015,1464,755,434,272,182,129,95
PR40016,1004,536,317,204,139,100,75
PR40017,1,1,1,1,1,1,1
PR40018,1257,657,383,242,164,116,87
PR40019,1,1,1,1,1,1,1
PR40020,3,3,2,2,2,2,2
PR40021,1,1,1,1,1,1,1
PR40022,230,140,93,65,48,37,30
PR40023,1,1,1,1,1,1,1
PR40024,1256,656,382,242,164,116,86
PR40025,8,6,5,5,4,4,4
PR40026,1410,729,421,265,178,126,93
PR40027,192,119,80,57,43,33,27
PR40028,2,2,2,2,2,2,2
PR40029,8,6,5,5,4,4,4
PR40030,2,2,2,2,2,2,2
PR40031,429,247,156,106,76,57,44
PR40032,1411,730,421,265,178,126,93
PR40033,2768,1347,739,444,288,197,142
PR40034,2864,1389,760,456,295,202,145
PR40035,2864,1389,760,456,295,202,145
PR40036,1469,757,436,273,183,129,95
PR40037,735,403,245,160,111,81,62
PR40038,1419,733,423,266,178,126,93
PR40039,3,3,3,3,2,2,2
PR40040,828,450,270,176,121,88,67
PR40041,851,461,276,179,124,90,68
PR40042,2932,1419,775,465,300,205,147
PR40043,193,120,80,57,43,33,27
PR40044,167,105,71,51,39,30,24
PR40045,834,453,272,177,122,89,67
PR40046,835,454,272,177,122,89,67
PR40047,2935,1420,776,465,300,205,147
PR40048,2739,1334,732,441,285,196,141
PR40049,2,1,1,1,1,1,1
PR40050,2896,1403,767,460,297,203,146
PR40051,2894,1403,767,460,297,203,146
PR40052,5,4,4,3,3,3,3
PR40053,2510,1232,681,412,268,185,133
PR40054,9,7,6,5,5,4,4
PR40055,173,108,73,53,40,31,25
PR40056,600,335,207,137,96,71,54
PR40057,690,381,232,153,107,78,59
