ID,PA,PB,PC,PD,PE,PF,PG
PR40001,578,297,171,107,72,51,38
PR40002,666,344,198,124,83,59,44
PR40003,642,330,190,119,80,57,42
PR40004,715,369,213,134,90,64,47
PR40005,815,413,234,145,96,67,49
PR40006,765,395,228,143,96,68,50
PR40007,839,431,247,154,103,73,54
PR40008,960,490,280,174,116,82,60
PR40009,807,418,242,152,102,73,54
PR40010,934,477,272,169,113,79,58
PR40011,779,403,233,147,99,70,52
PR40012,899,459,262,163,109,76,56
PR40013,896,456,260,161,107,75,55
PR40014,769,398,230,145,97,69,51
PR40015,897,457,261,162,108,76,56
PR40016,956,487,277,172,114,80,59
PR40017,552,286,165,104,70,50,37
PR40018,826,420,239,148,98,69,50
PR40019,782,400,228,142,95,67,49
PR40020,613,318,184,116,78,56,41
PR40021,635,327,188,118,79,56,41
PR40022,854,435,247,154,102,72,53
PR40023,494,257,149,94,64,45,34
PR40024,776,394,224,139,92,65,47
PR40025,557,288,166,105,71,50,37
PR40026,737,376,215,134,89,63,46
PR40027,560,291,169,107,72,51,38
PR40028,765,391,224,140,93,66,48
PR40029,571,297,173,109,74,53,39
PR40030,804,414,238,149,100,71,52
PR40031,556,290,169,107,73,52,39
PR40032,722,372,214,134,90,64,47
PR40033,440,231,136,87,59,43,32
PR40034,691,355,204,128,86,61,45
PR40035,499,260,151,96,65,46,35
PR40036,608,313,180,113,76,54,40
PR40037,659,339,195,122,82,58,43
PR40038,521,273,160,102,69,50,37
PR40039,497,261,153,98,67,48,36
PR40040,533,277,161,102,69,49,37
PR40041,381,201,118,76,52,38,28
PR40042,557,291,170,108,73,52,39
PR40043,420,221,130,83,57,41,31
PR40044,493,259,152,97,66,48,36
PR40045,446,234,137,87,59,43,32
PR40046,356,188,111,71,49,35,27
PR40047,520,273,160,102,70,50,38
PR40048,724,376,218,138,93,66,49
PR40049,679,350,202,127,85,60,45
PR40050,827,423,242,151,101,71,52
PR40051,981,502,287,179,119,84,62
PR40052,884,453,260,162,108,76,56
PR40053,699,354,201,124,82,58,42
PR40054,518,273,160,102,70,50,38
PR40055,403,214,127,82,56,41,31
PR40056,499,264,156,100,69,50,37
PR40057,492,261,154,99,68,49,37
PR40058,538,281,164,104,71,51,38
PR40059,467,247,145,93,64,46,34
PR40060,495,255,147,92,62,44,33
PR40061,385,203,119,76,52,37,28
PR40062,621,317,181,113,75,53,39
PR40063,536,277,160,101,68,48,36
PR40064,591,305,176,111,74,53,39
PR40065,921,470,268,167,111,78,57
PR40066,727,368,209,129,86,60,44
PR40067,787,401,229,142,95,67,49
PR40068,852,436,250,156,104,73,54
PR40069,664,338,193,120,80,56,41
PR40070,654,335,192,120,80,57,42
PR40071,312,165,97,62,43,31,23
PR40072,281,151,90,59,41,30,23
PR40073,352,187,111,71,49,35,27
PR40074,458,246,147,95,66,48,36
PR40075,594,307,177,112,75,54,40
PR40076,441,230,134,85,58,42,31
PR40077,452,236,138,88,60,43,32
PR40078,443,234,138,88,60,43,33
PR40079,332,178,106,69,48,35,26
PR40080,323,172,102,66,45,33,25
PR40081,638,329,190,119,80,57,42
PR40082,808,412,235,146,97,68,50
PR40083,660,341,197,124,83,59,44
PR40084,689,351,200,124,83,58,43
PR40085,633,328,190,120,81,57,43
PR40086,851,436,250,156,104,73,54
PR40087,557,292,171,109,74,53,40
PR40088,603,307,175,109,73,51,38
PR40089,565,294,171,108,73,52,39
PR40090,697,356,204,127,85,60,44
PR40091,551,288,168,107,73,52,39
PR40092,451,236,138,88,60,43,32
PR40093,565,289,165,103,69,49,36
PR40094,486,252,146,92,62,44,33
PR40095,560,287,165,103,69,49,36
PR40096,491,257,150,95,65,46,35
PR40097,621,319,183,115,77,55,40
PR40098,443,232,135,86,58,42,31
PR40099,379,201,119,76,52,38,28
PR40100,430,224,130,82,56,40,30
PR40101,281,149,88,57,39,28,21
PR40102,478,247,143,90,61,43,32
PR40103,382,202,119,76,52,38,28
PR40104,415,217,126,80,54,39,29
PR40105,386,203,119,76,52,37,28
PR40106,262,141,84,55,38,28,21
PR40107,465,240,139,88,59,42,31
PR40108,400,211,124,79,54,39,29
PR40109,311,163,96,61,42,30,23
PR40110,369,193,113,72,49,35,26
PR40111,389,206,122,78,54,39,29
PR40112,421,222,130,83,57,41,31
PR40113,401,211,124,79,54,39,29
PR40114,375,200,119,77,53,39,29
PR40115,357,190,113,73,50,36,27
PR40116,329,173,102,65,45,32,24
PR40117,284,153,92,60,42,31,23
PR40118,325,172,101,65,45,32,24
PR40119,297,159,95,62,43,31,24
PR40120,282,152,91,59,41,30,23
PR40121,253,137,83,54,38,28,21
PR40122,255,132,77,49,34,24,18
PR40123,372,197,116,75,51,37,28
PR40124,368,196,116,75,52,37,28
PR40125,410,217,128,82,56,41,31
PR40126,390,207,122,78,54,39,29
PR40127,509,265,154,97,66,47,35
PR40128,889,455,260,162,108,76,56
PR40129,916,467,266,165,110,77,57
PR40130,714,368,212,133,89,63,47
PR40131,927,474,271,169,113,79,58
PR40132,705,364,210,132,89,63,47
PR40133,940,482,276,172,115,81,60
PR40134,848,434,248,155,103,73,54
PR40135,842,432,248,155,104,73,54
PR40136,791,407,234,147,98,69,51
PR40137,677,354,206,131,89,63,47
PR40138,820,420,240,150,100,71,52
PR40139,279,144,84,53,36,26,20
PR40140,363,191,112,72,49,35,27
PR40141,374,199,118,76,52,38,29
PR40142,258,133,77,49,33,24,18
PR40143,367,194,114,73,50,36,27
PR40144,292,156,93,60,42,30,23
PR40145,279,150,90,59,41,30,23
PR40146,319,170,101,65,45,33,25
PR40147,288,154,92,60,41,30,23
PR40148,274,147,88,57,40,29,22
PR40149,302,161,96,62,43,31,24
PR40150,528,274,159,100,68,48,36
PR40151,425,223,130,83,56,40,30
PR40152,422,222,131,84,57,41,31
PR40153,489,260,154,99,68,49,37
PR40154,288,154,92,60,41,30,23
PR40155,456,239,140,89,61,44,33
PR40156,477,251,147,94,64,46,34
PR40157,505,261,151,95,64,45,34
PR40158,439,230,134,85,58,41,31
PR40159,597,306,175,109,73,52,38
PR40160,571,296,171,108,73,52,38
PR40161,728,375,216,135,91,64,47
PR40162,517,268,155,98,66,47,35
PR40163,705,363,209,131,88,62,46
PR40164,624,321,185,116,78,55,41
PR40165,706,363,208,130,87,61,45
PR40166,674,347,200,125,84,59,44
PR40167,744,381,218,136,91,64,47
PR40168,653,336,193,121,81,57,42
PR40169,795,406,232,144,96,68,50
PR40170,697,358,205,128,86,61,45
PR40171,700,364,211,133,90,64,47
PR40172,655,340,197,124,84,60,44
PR40173,819,421,242,151,101,71,53
PR40174,724,369,210,131,87,61,45
PR40175,488,254,148,94,63,45,34
PR40176,855,438,251,157,105,74,55
PR40177,549,285,165,104,70,50,37
PR40178,743,382,220,138,92,65,48
PR40179,564,292,169,107,72,51,38
PR40180,590,305,176,111,75,53,39
PR40181,452,235,136,86,58,42,31
PR40182,459,238,138,87,59,42,31
PR40183,525,266,151,94,62,44,32
PR40184,350,183,107,68,46,33,25
PR40185,481,245,140,87,58,41,30
PR40186,359,188,110,70,48,34,26
PR40187,506,262,151,95,64,46,34
PR40188,396,209,123,79,54,39,29
PR40189,415,220,130,83,57,41,31
PR40190,501,261,152,96,65,47,35
PR40191,405,214,126,81,55,40,30
PR40192,358,189,111,71,49,35,27
PR40193,504,268,159,102,70,51,38
PR40194,491,259,152,97,66,48,36
PR40195,495,262,155,99,68,49,37
PR40196,463,245,145,93,64,46,35
PR40197,435,230,136,87,60,43,33
PR40198,487,258,152,98,67,48,36
PR40199,468,247,145,93,64,46,35
PR40200,484,256,151,97,66,48,36
PR40201,482,256,152,98,67,49,37
PR40202,490,257,151,96,66,47,35
PR40203,497,263,155,99,68,49,37
PR40204,514,270,158,101,69,50,37
PR40205,407,215,127,82,56,41,31
PR40206,516,271,159,101,69,50,37
PR40207,541,282,164,104,71,51,38
PR40208,444,235,139,89,61,44,33
PR40209,443,232,136,87,59,43,32
PR40210,473,250,147,94,64,46,35
PR40211,575,299,174,110,74,53,39
PR40212,725,376,218,137,93,66,49
PR40213,630,327,189,119,80,57,42
PR40214,556,289,168,106,72,51,38
PR40215,697,360,207,130,87,62,46
PR40216,730,377,218,137,92,65,48
PR40217,639,331,191,120,81,58,43
PR40218,567,294,170,107,72,51,38
PR40219,410,218,129,83,57,41,31
PR40220,354,187,110,71,48,35,26
PR40221,434,229,135,86,59,42,32
PR40222,353,190,113,73,51,37,28
PR40223,473,251,148,95,65,47,35
PR40224,569,300,176,113,77,55,41
PR40225,388,207,123,79,55,40,30
PR40226,484,254,149,95,65,47,35
PR40227,460,244,144,93,64,46,35
PR40228,427,222,129,82,56,40,30
PR40229,522,278,165,106,73,53,40
PR40230,502,266,157,101,69,50,38
PR40231,600,315,185,118,80,58,43
PR40232,490,258,152,97,66,48,36
PR40233,500,264,156,100,68,49,37
PR40234,522,275,162,104,71,51,38
PR40235,380,203,121,78,54,39,30
PR40236,319,164,95,60,41,29,22
PR40237,419,224,133,86,59,43,33
PR40238,426,222,130,83,57,41,31
PR40239,463,246,146,94,65,47,35
PR40240,449,238,140,90,62,45,34
PR40241,477,253,149,96,66,47,36
PR40242,466,242,141,89,60,43,32
PR40243,640,334,194,123,83,59,44
PR40244,540,280,162,102,69,49,37
PR40245,542,281,163,103,70,50,37
PR40246,558,290,168,106,72,51,38
