ID,PA,PB,PC,PD,PE,PF,PG
PR40001,535,273,155,94,61,42,30
PR40002,542,277,157,95,61,42,30
PR40003,580,294,165,99,63,42,30
PR40004,595,301,168,101,64,43,30
PR40005,602,305,170,102,65,43,30
PR40006,652,328,182,108,67,44,31
PR40007,633,319,177,105,66,44,31
PR40008,662,333,184,109,68,44,31
PR40009,676,339,187,110,68,44,31
PR40010,646,325,180,107,67,44,31
PR40011,652,328,182,108,67,44,31
PR40012,655,329,182,108,67,44,31
PR40013,660,332,184,109,68,44,31
PR40014,655,329,182,108,67,44,31
PR40015,660,332,184,109,68,44,31
PR40016,628,317,176,105,66,44,31
PR40017,574,292,164,99,63,42,30
PR40018,612,309,172,103,65,43,30
PR40019,529,270,153,93,60,41,30
PR40020,585,297,166,100,64,43,30
PR40021,563,286,161,97,62,42,30
PR40022,542,277,157,95,61,42,30
PR40023,526,269,153,93,60,41,30
PR40024,570,290,163,98,63,42,30
PR40025,580,294,165,99,63,42,30
PR40026,573,291,164,99,63,42,30
PR40027,539,275,156,95,61,42,30
PR40028,573,291,164,99,63,42,30
PR40029,543,277,157,95,61,42,30
PR40030,565,287,162,98,63,42,30
PR40031,542,277,157,95,61,42,30
PR40032,533,272,154,94,61,42,30
PR40033,493,254,145,89,58,40,29
PR40034,510,262,149,91,59,41,30
PR40035,465,241,139,86,57,40,29
PR40036,461,239,138,86,57,40,29
PR40037,480,248,142,88,58,40,29
PR40038,479,247,142,88,58,40,29
PR40039,448,233,135,84,56,39,29
PR40040,433,226,131,82,55,39,29
PR40041,424,221,129,81,55,39,29
PR40042,456,236,136,85,57,40,29
PR40043,399,210,123,78,53,38,29
PR40044,414,217,127,80,54,39,29
PR40045,400,210,123,78,53,38,29
PR40046,393,207,122,78,53,38,29
PR40047,416,218,127,80,54,39,29
PR40048,641,323,179,106,66,44,31
PR40049,605,306,171,102,65,43,30
PR40050,632,319,177,105,66,44,31
PR40051,640,322,179,106,66,44,31
PR40052,658,331,183,108,67,44,31
PR40053,622,314,175,104,66,44,31
PR40054,496,255,146,90,59,41,30
PR40055,349,186,111,72,50,37,28
PR40056,413,216,126,80,54,39,29
PR40057,441,229,133,83,56,39,29
PR40058,467,242,139,86,57,40,29
PR40059,470,243,140,87,57,40,29
PR40060,440,229,133,83,56,39,29
PR40061,440,229,133,83,56,39,29
PR40062,488,251,144,89,58,40,29
PR40063,504,259,148,91,59,41,30
PR40064,577,293,164,99,63,42,30
PR40065,670,336,186,110,68,44,31
PR40066,621,313,174,104,66,44,31
PR40067,620,313,174,104,66,44,31
PR40068,621,313,174,104,66,44,31
PR40069,579,294,165,99,63,42,30
PR40070,510,262,149,91,59,41,30
PR40071,278,153,95,64,47,36,28
PR40072,288,158,97,65,47,36,28
PR40073,408,214,125,79,54,39,29
PR40074,501,257,147,90,59,41,30
PR40075,445,231,134,84,56,39,29
PR40076,430,224,130,82,55,39,29
PR40077,379,200,118,76,52,38,29
PR40078,382,202,119,76,52,38,29
PR40079,349,186,111,72,50,37,28
PR40080,334,179,108,71,50,37,28
PR40081,583,296,166,100,64,43,30
PR40082,575,292,164,99,63,42,30
PR40083,620,313,174,104,66,44,31
PR40084,587,298,167,100,64,43,30
PR40085,569,289,163,98,63,42,30
PR40086,599,303,169,101,64,43,30
PR40087,562,286,161,97,62,42,30
PR40088,529,270,153,93,60,41,30
PR40089,530,271,154,94,61,42,30
PR40090,568,289,163,98,63,42,30
PR40091,528,270,153,93,60,41,30
PR40092,477,246,141,87,57,40,29
PR40093,461,239,138,86,57,40,29
PR40094,425,222,129,81,55,39,29
PR40095,454,235,136,85,57,40,29
PR40096,462,239,138,86,57,40,29
PR40097,476,246,141,87,57,40,29
PR40098,425,222,129,81,55,39,29
PR40099,408,214,125,79,54,39,29
PR40100,403,212,124,79,54,39,29
PR40101,384,203,120,77,53,38,29
PR40102,386,204,120,77,53,38,29
PR40103,403,212,124,79,54,39,29
PR40104,381,201,119,76,52,38,29
PR40105,379,200,118,76,52,38,29
PR40106,377,200,118,76,52,38,29
PR40107,374,198,117,75,52,38,29
PR40108,384,203,120,77,53,38,29
PR40109,383,202,119,76,52,38,29
PR40110,348,186,111,72,50,37,28
PR40111,375,199,118,76,52,38,29
PR40112,374,198,117,75,52,38,29
PR40113,354,189,113,73,51,37,28
PR40114,344,184,110,72,50,37,28
PR40115,348,186,111,72,50,37,28
PR40116,300,164,100,67,48,36,28
PR40117,278,153,95,64,47,36,28
PR40118,277,153,95,64,47,36,28
PR40119,277,153,95,64,47,36,28
PR40120,274,151,94,64,47,36,28
PR40121,276,152,94,64,47,36,28
PR40122,311,169,103,68,48,36,28
PR40123,363,193,115,74,51,37,28
PR40124,380,201,119,76,52,38,29
PR40125,396,208,122,78,53,38,29
PR40126,408,214,125,79,54,39,29
PR40127,449,233,135,84,56,39,29
PR40128,609,308,172,103,65,43,30
PR40129,639,322,179,106,66,44,31
PR40130,637,321,178,106,66,44,31
PR40131,622,314,175,104,66,44,31
PR40132,609,308,172,103,65,43,30
PR40133,661,332,184,109,68,44,31
PR40134,587,298,167,100,64,43,30
PR40135,570,290,163,98,63,42,30
PR40136,574,292,164,99,63,42,30
PR40137,576,292,164,99,63,42,30
PR40138,566,288,162,98,63,42,30
PR40139,316,171,104,69,49,37,28
PR40140,332,179,108,71,50,37,28
PR40141,347,186,111,72,50,37,28
PR40142,303,165,101,67,48,36,28
PR40143,330,178,107,70,49,37,28
PR40144,293,160,98,66,47,36,28
PR40145,291,159,98,66,47,36,28
PR40146,287,158,97,65,47,36,28
PR40147,283,156,96,65,47,36,28
PR40148,278,153,95,64,47,36,28
PR40149,278,153,95,64,47,36,28
PR40150,463,240,138,86,57,40,29
PR40151,420,220,128,81,55,39,29
PR40152,364,193,115,74,51,37,28
PR40153,418,219,128,81,55,39,29
PR40154,417,218,127,80,54,39,29
PR40155,445,231,134,84,56,39,29
PR40156,465,241,139,86,57,40,29
PR40157,441,229,133,83,56,39,29
PR40158,422,221,129,81,55,39,29
PR40159,469,242,139,86,57,40,29
PR40160,515,264,150,92,60,41,30
PR40161,562,286,161,97,62,42,30
PR40162,506,260,148,91,59,41,30
PR40163,541,276,156,95,61,42,30
PR40164,560,285,161,97,62,42,30
PR40165,558,284,160,97,62,42,30
PR40166,588,298,167,100,64,43,30
PR40167,574,292,164,99,63,42,30
PR40168,581,295,165,99,63,42,30
PR40169,603,305,170,102,65,43,30
PR40170,578,293,164,99,63,42,30
PR40171,604,306,171,102,65,43,30
PR40172,562,286,161,97,62,42,30
PR40173,583,296,166,100,64,43,30
PR40174,506,260,148,91,59,41,30
PR40175,496,255,146,90,59,41,30
PR40176,553,282,159,96,62,42,30
PR40177,508,261,149,91,59,41,30
PR40178,517,265,151,92,60,41,30
PR40179,516,264,150,92,60,41,30
PR40180,471,243,140,87,57,40,29
PR40181,448,233,135,84,56,39,29
PR40182,433,226,131,82,55,39,29
PR40183,399,210,123,78,53,38,29
PR40184,381,201,119,76,52,38,29
PR40185,363,193,115,74,51,37,28
PR40186,391,206,121,77,53,38,29
PR40187,404,212,124,79,54,39,29
PR40188,402,211,124,79,54,39,29
PR40189,411,215,126,80,54,39,29
PR40190,410,215,126,80,54,39,29
PR40191,376,199,118,76,52,38,29
PR40192,387,204,120,77,53,38,29
PR40193,393,207,122,78,53,38,29
PR40194,382,202,119,76,52,38,29
PR40195,377,200,118,76,52,38,29
PR40196,355,189,113,73,51,37,28
PR40197,341,183,110,72,50,37,28
PR40198,358,191,114,74,51,37,28
PR40199,363,193,115,74,51,37,28
PR40200,369,196,116,75,52,38,29
PR40201,387,204,120,77,53,38,29
PR40202,380,201,119,76,52,38,29
PR40203,402,211,124,79,54,39,29
PR40204,417,218,127,80,54,39,29
PR40205,424,221,129,81,55,39,29
PR40206,439,228,132,83,56,39,29
PR40207,456,236,136,85,57,40,29
PR40208,441,229,133,83,56,39,29
PR40209,456,236,136,85,57,40,29
PR40210,472,244,140,87,57,40,29
PR40211,494,254,145,89,58,40,29
PR40212,560,285,161,97,62,42,30
PR40213,501,257,147,90,59,41,30
PR40214,532,272,154,94,61,42,30
PR40215,535,273,155,94,61,42,30
PR40216,578,293,164,99,63,42,30
PR40217,557,284,160,97,62,42,30
PR40218,442,230,133,83,56,39,29
PR40219,396,208,122,78,53,38,29
PR40220,352,188,112,73,51,37,28
PR40221,377,200,118,76,52,38,29
PR40222,378,200,118,76,52,38,29
PR40223,425,222,129,81,55,39,29
PR40224,441,229,133,83,56,39,29
PR40225,365,194,115,74,51,37,28
PR40226,390,206,121,77,53,38,29
PR40227,393,207,122,78,53,38,29
PR40228,390,206,121,77,53,38,29
PR40229,424,221,129,81,55,39,29
PR40230,396,208,122,78,53,38,29
PR40231,425,222,129,81,55,39,29
PR40232,380,201,119,76,52,38,29
PR40233,382,202,119,76,52,38,29
PR40234,385,203,120,77,53,38,29
PR40235,338,181,109,71,50,37,28
PR40236,309,168,102,68,48,36,28
PR40237,356,190,113,73,51,37,28
PR40238,369,196,116,75,52,38,29
PR40239,398,209,123,78,53,38,29
PR40240,389,205,121,77,53,38,29
PR40241,441,229,133,83,56,39,29
PR40242,487,251,144,89,58,40,29
PR40243,531,271,154,94,61,42,30
PR40244,521,267,152,93,60,41,30
PR40245,511,262,149,91,59,41,30
PR40246,521,267,152,93,60,41,30
PR40247,546,278,157,95,61,42,30
PR40248,587,298,167,100,64,43,30
PR40249,611,309,172,103,65,43,30
PR40250,444,231,134,84,56,39,29
PR40251,433,226,131,82,55,39,29
PR40252,432,225,131,82,55,39,29
PR40253,457,237,137,85,57,40,29
PR40254,383,202,119,76,52,38,29
PR40255,383,202,119,76,52,38,29
PR40256,348,186,111,72,50,37,28
PR40257,346,185,111,72,50,37,28
PR40258,359,191,114,74,51,37,28
PR40259,371,197,117,75,52,38,29
PR40260,594,301,168,101,64,43,30
PR40261,602,305,170,102,65,43,30
PR40262,617,312,174,104,66,44,31
PR40263,583,296,166,100,64,43,30
PR40264,525,269,153,93,60,41,30
PR40265,555,283,160,97,62,42,30
PR40266,485,250,143,88,58,40,29
PR40267,517,265,151,92,60,41,30
PR40268,485,250,143,88,58,40,29
PR40269,504,259,148,91,59,41,30
PR40270,481,248,142,88,58,40,29
PR40271,449,233,135,84,56,39,29
PR40272,425,222,129,81,55,39,29
PR40273,408,214,125,79,54,39,29
PR40274,420,220,128,81,55,39,29
PR40275,415,217,127,80,54,39,29
PR40276,403,212,124,79,54,39,29
PR40277,405,213,125,79,54,39,29
PR40278,397,209,123,78,53,38,29
PR40279,589,299,167,100,64,43,30
PR40280,588,298,167,100,64,43,30
PR40281,597,302,169,101,64,43,30
PR40282,625,315,175,104,66,44,31
PR40283,639,322,179,106,66,44,31
PR40284,618,312,174,104,66,44,31
PR40285,614,310,173,103,65,43,30
PR40286,658,331,183,108,67,44,31
PR40287,584,296,166,100,64,43,30
PR40288,572,291,164,99,63,42,30
PR40289,568,289,163,98,63,42,30
PR40290,559,285,161,97,62,42,30
PR40291,539,275,156,95,61,42,30
PR40292,532,272,154,94,61,42,30
PR40293,489,252,144,89,58,40,29
PR40294,524,268,152,93,60,41,30
PR40295,517,265,151,92,60,41,30
PR40296,496,255,146,90,59,41,30
PR40297,477,246,141,87,57,40,29
PR40298,504,259,148,91,59,41,30
PR40299,472,244,140,87,57,40,29
PR40300,500,257,147,90,59,41,30
PR40301,467,242,139,86,57,40,29
PR40302,468,242,139,86,57,40,29
PR40303,460,238,137,85,57,40,29
PR40304,434,226,131,82,55,39,29
PR40305,449,233,135,84,56,39,29
PR40306,418,219,128,81,55,39,29
PR40307,436,227,132,83,56,39,29
PR40308,406,213,125,79,54,39,29
PR40309,447,232,134,84,56,39,29
PR40310,448,233,135,84,56,39,29
PR40311,431,225,131,82,55,39,29
PR40312,444,231,134,84,56,39,29
PR40313,413,216,126,80,54,39,29
PR40314,433,226,131,82,55,39,29
PR40315,379,200,118,76,52,38,29
PR40316,494,254,145,89,58,40,29
PR40317,498,256,146,90,59,41,30
PR40318,531,271,154,94,61,42,30
PR40319,560,285,161,97,62,42,30
PR40320,303,165,101,67,48,36,28
PR40321,443,230,133,83,56,39,29
PR40322,442,230,133,83,56,39,29
PR40323,424,221,129,81,55,39,29
PR40324,423,221,129,81,55,39,29
PR40325,403,212,124,79,54,39,29
PR40326,393,207,122,78,53,38,29
PR40327,397,209,123,78,53,38,29
PR40328,504,259,148,91,59,41,30
PR40329,379,200,118,76,52,38,29
PR40330,346,185,111,72,50,37,28
PR40331,359,191,114,74,51,37,28
PR40332,343,184,110,72,50,37,28
PR40333,420,220,128,81,55,39,29
PR40334,410,215,126,80,54,39,29
PR40335,378,200,118,76,52,38,29
PR40336,406,213,125,79,54,39,29
PR40337,388,205,121,77,53,38,29
PR40338,379,200,118,76,52,38,29
PR40339,388,205,121,77,53,38,29
PR40340,417,218,127,80,54,39,29
PR40341,417,218,127,80,54,39,29
PR40342,434,226,131,82,55,39,29
PR40343,437,228,132,83,56,39,29
PR40344,489,252,144,89,58,40,29
PR40345,451,234,135,84,56,39,29
PR40346,449,233,135,84,56,39,29
PR40347,501,257,147,90,59,41,30
PR40348,493,254,145,89,58,40,29
PR40349,508,261,149,91,59,41,30
PR40350,519,266,151,92,60,41,30
PR40351,535,273,155,94,61,42,30
PR40352,537,274,155,94,61,42,30
PR40353,555,283,160,97,62,42,30
